date,rocket_name,launch_site,payload_mass,satellite_name,outcome,launch_year,launch_month,rocket_success_rate,launch_site_risk,orbit_GEO,orbit_LEO,orbit_LEo,orbit_MEO,payload_category_Light,payload_category_Medium
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5170 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5171 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5172 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5173 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5174 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5175 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5176 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5177 ,0,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5178 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5179 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2023-01-19,Falcon 9,Vandenberg AFB,290.0,Starlink-5180                ,1,2023,1,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5181 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5182 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5183 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5184 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5185 ,0,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5186 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5187 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5188 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5189 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5190 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-12-17,Falcon 9,Cape Canaveral,260.0,Starlink-5191 ,1,2022,12,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5192 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
